pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:ConkTy00,Tyler Conklin,TE,DET,ConkTy00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,11.1,19.9,9.3,13.4,0,0,0,0,0,13.4,9.3,19.9,,,,,,,,,,,,,,,,,,,
fbg:HolaGe01,George Holani,RB,SEA,HolaGe01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,51.8,22.7,41,38.6,0,0,0,0,0,38.6,22.7,51.8,,,,,,,,,,,,,,,,,,,
fbg:BateJo00,John Bates,TE,WAS,BateJo00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,6.6,50.4,43.5,33.3,0,0,0,0,0,33.3,6.6,50.4,,,,,,,,,,,,,,,,,,,
cbs:2864800,Stone Smartt,TE,PHI,,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,10.5,,10.5,0,0,0,0,0,10.5,10.5,10.5,Single premium source matched; carried forward,,,,,,,,,,,,,,,,,,
fbg:WoerCh00,Charlie Woerner,TE,ATL,WoerCh00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,10.5,53.1,30.8,31.3,0,0,0,0,0,31.3,10.5,53.1,,,,,,,,,,,,,,,,,,,
fbg:AdkiNa00,Nate Adkins,TE,DEN,AdkiNa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,10,44.4,31.5,28.5,0,0,0,0,0,28.5,10,44.4,,,,,,,,,,,,,,,,,,,
fbg:SlayDa00,Darius Slayton,WR,NYG,SlayDa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,60.2,117.9,100.5,92.6,0,0,0,0,0,92.6,60.2,117.9,,,,,,,,,,,,,,,,,,,
fbg:FranTr00,Troy Franklin,WR,DEN,FranTr00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,60.8,149.5,96.4,101.9,0,0,0,0,0,101.9,60.8,149.5,,,,,,,,,,,,,,,,,,,
cbs:2866424,Tylan Wallace,WR,CLE,,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,61.2,,61.2,0,0,0,0,0,61.2,61.2,61.2,Single premium source matched; carried forward,,,,,,,,,,,,,,,,,,
fbg:ReimTi00,Tip Reiman,TE,ARI,ReimTi00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,9.2,26.8,8.4,14.7,0,0,0,0,0,14.7,8.4,26.8,,,,,,,,,,,,,,,,,,,
fbg:WillAn02,Antonio Williams,WR,WAS,WillAn02,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,43.8,130.3,125.7,99.6,0,0,0,0,0,99.6,43.8,130.3,,,,,,,,,,,,,,,,,,,
fbg:WileJa00,Jared Wiley,TE,KC,WileJa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,9.2,25.8,,17.4,0,0,0,0,0,17.4,9.2,25.8,,,,,,,,,,,,,,,,,,,
cbs:26688308,Shane Zylstra,TE,BUF,,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,,8.9,,8.9,0,0,0,0,0,8.9,8.9,8.9,Single premium source matched; carried forward,,,,,,,,,,,,,,,,,,
fbg:AlleDa01,Davis Allen,TE,LAR,AlleDa01,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,8.9,67.8,44,40,0,0,0,0,0,40,8.9,67.8,,,,,,,,,,,,,,,,,,,
fbg:HudsTa00,Tanner Hudson,TE,CIN,HudsTa00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,6.5,22.2,29.3,19.3,0,0,0,0,0,19.3,6.5,29.3,,,,,,,,,,,,,,,,,,,
fbg:GalbJJ00,JJ Galbreath,TE,PIT,GalbJJ00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,2.6,0,,1.3,0,0,0,0,0,1.3,0,2.6,,,,,,,,,,,,,,,,,,,
fbg:BateBr00,Brenden Bates,TE,CLE,BateBr00,,,,tb-cbs-fbg-refresh-20260812,2026-08-12T22:55:51.496Z,2026-08-12T22:55:51.496Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,4.7,19.4,,12,0,0,0,0,0,12,4.7,19.4,,,,,,,,,,,,,,,,,,,
