playerId,name,position,team,sourceRank,primarySource,primaryProjection,scheduleProjection,scheduleVbdDelta,fbg,legacyFbgWeekly,cbs,fantasyPros,pff,sourceMedian,sourceRange,candidateModel,vbd,expectedVbd,vbdDelta,cbsVbd,fantasyProsVbd,pffVbd,intrinsic,market,maxBid,packMarket,packMaxBid,monotoneRoomCurveMarket,fbgValue,fbgGlobalRank,mflAav,fbgLatestTeam,fbgNegativeWeeks,marketPositionRank,fbgPositionRank,mflPositionRank,flags
cbs:3165468,Rivaldo Fairweather,TE,ARI,68,Thunder Bowl Consensus,28.6,27.9,-0.7,,,28.4,28.8,,28.6,0.4,37.2,-143.7,-143.7,0.0,-151.3,-138.4,,1,1,1,1,1,1,,,,,,71,,,
fbg:BechJa00,Jack Bech,WR,LV,91,Thunder Bowl Consensus,70.3,73.3,3.0,74.8,52.2,,65.8,,70.3,9.0,,-140.5,-140.5,0.0,,-144.3,,1,1,1,1,1,1,1,269,,LV,0,107,84,,
fbg:VeleDe00,Devaughn Vele,WR,NO,92,Thunder Bowl Consensus,109.2,112.2,3.0,84.0,49.6,118.2,125.9,,118.2,41.9,76.6,-101.6,-101.6,0.0,-89.0,-84.2,,1,1,1,1,1,1,1,276,0.82,NO,0,75,87,85,CANDIDATE_MODEL_OUTLIER
cbs:29148608,Cam Grandy,TE,CIN,69,Thunder Bowl Consensus,28.4,27.8,-0.6,,,27.8,29.0,,28.4,1.2,9.5,-143.8,-143.8,0.0,-151.9,-138.2,,1,1,1,1,1,1,,,,,,75,,,
cbs:26695325,Zaire Mitchell-Paden,TE,NO,70,Thunder Bowl Consensus,27.8,27.2,-0.6,,0.0,,27.8,,27.8,,9.4,-144.4,-144.4,0.0,,-139.4,,1,1,1,1,1,1,,,,NO,0,78,,,
fbg:StevDr01,Drew Stevens,K,WAS,38,Thunder Bowl Consensus,66.0,65.7,-0.3,66.0,9.2,,,,66.0,,3.2,-60.7,-60.7,0.0,,,,1,1,1,1,1,1,,,,WAS,1,31,,,FBG_NEGATIVE_WEEK|CANDIDATE_MODEL_OUTLIER
fbg:JohnTy00,Ty Johnson,RB,BUF,55,Thunder Bowl Consensus,79.8,79.2,-0.6,59.6,53.0,85.7,94.5,,85.7,34.9,89.3,-110.1,-110.1,0.0,-100.1,-101.8,,1,1,1,1,1,1,1,310,1.02,BUF,1,57,57,73,FBG_NEGATIVE_WEEK
fbg:RariEl00,Eli Raridon,TE,NE,71,Thunder Bowl Consensus,36.6,36.0,-0.6,27.4,16.4,,45.9,,36.6,18.5,56.0,-135.6,-135.6,0.0,,-121.3,,1,1,1,1,1,1,1,315,4.97,NE,0,61,59,18,MARKET_RANK_VS_MFL_12
cbs:2961761,Lucas Krull,TE,DEN,72,Thunder Bowl Consensus,13.4,12.7,-0.7,,0.0,,13.4,,13.4,,10.1,-158.9,-158.9,0.0,,-153.8,,1,1,1,1,1,1,,,,DEN,0,111,,,
fbg:MitcKe01,Keaton Mitchell,RB,LAC,56,Thunder Bowl Consensus,89.9,89.2,-0.7,95.4,62.2,,84.4,,89.9,11.0,40.1,-100.1,-100.1,0.0,,-111.9,,1,1,1,1,1,1,1,286,2.04,LAC,0,54,54,64,CANDIDATE_MODEL_OUTLIER
fbg:PeriSa00,Samaje Perine,RB,CIN,57,Thunder Bowl Consensus,86.9,86.5,-0.4,77.9,50.8,86.6,96.4,,86.6,18.5,76.5,-102.8,-102.8,0.0,-99.2,-99.9,,1,1,1,1,1,1,1,320,1.02,CIN,0,56,61,72,
cbs:2260697,Tanner Conner,TE,NYG,73,Thunder Bowl Consensus,26.9,26.4,-0.5,,0.0,26.4,27.3,,26.9,0.9,10.8,-145.2,-145.2,0.0,-153.3,-139.9,,1,1,1,1,1,1,,,,NYG,0,80,,,
fbg:YorkCa44,Cade York,K,NYJ,39,Thunder Bowl Consensus,6.9,6.1,-0.8,6.9,8.0,,,,6.9,,3.2,-120.3,-120.3,0.0,,,,1,1,1,1,1,1,,,,NYJ,0,36,,,
fbg:WrigBr00,Brock Wright,TE,DET,74,Thunder Bowl Consensus,43.2,42.7,-0.5,25.6,15.4,50.8,53.4,,50.8,27.8,44.5,-128.9,-128.9,0.0,-128.9,-113.8,,1,1,1,1,1,1,1,322,,DET,0,52,61,,
cbs:2183713,Donald Parham Jr.,TE,PIT,75,Thunder Bowl Consensus,24.8,24.2,-0.6,,,24.8,,,24.8,,,-147.4,-147.4,0.0,-154.9,,,1,1,1,1,1,1,,,,,,85,,,
cbs:2253359,Ian Thomas,TE,LV,76,Thunder Bowl Consensus,8.6,7.9,-0.7,,0.0,,8.6,,8.6,,,-163.7,-163.7,0.0,,-158.6,,1,1,1,1,1,1,,,,LV,0,128,,,
cbs:28875704,Jaren Kanak,TE,TEN,77,Thunder Bowl Consensus,25.2,24.5,-0.7,,0.0,24.8,25.6,,25.2,0.8,,-147.1,-147.1,0.0,-154.9,-141.6,,1,1,1,1,1,1,,,,TEN,0,83,,,
cbs:2963243,Zack Kuntz,TE,MIA,78,Thunder Bowl Consensus,30.8,30.2,-0.6,,,,30.8,,30.8,,,-141.4,-141.4,0.0,,-136.4,,1,1,1,1,1,1,,,,,,66,,,
cbs:3169583,Jaheim Bell,TE,PIT,79,Thunder Bowl Consensus,25.7,25.1,-0.6,,0.0,,25.7,,25.7,,,-146.5,-146.5,0.0,,-141.5,,1,1,1,1,1,1,,,,PIT,0,81,,,
fbg:LegeXa00,Xavier Legette,WR,CAR,93,Thunder Bowl Consensus,86.3,89.3,3.0,78.6,46.4,,94.1,,86.3,15.5,,-124.5,-124.5,0.0,,-116.0,,1,1,1,1,1,1,1,279,,CAR,0,96,89,,
fbg:SmytDu00,Durham Smythe,TE,BAL,81,Thunder Bowl Consensus,24.5,23.8,-0.7,25.7,14.0,,23.2,,24.4,2.5,,-147.8,-147.8,0.0,,-144.0,,1,1,1,1,1,1,1,327,,BAL,0,86,64,,
fbg:HuntTr00,Travis Hunter,WR,JAX,94,Thunder Bowl Consensus,98.1,101.1,3.0,84.5,51.1,,111.9,,98.2,27.4,,-112.7,-112.7,0.0,,-98.2,,1,1,1,1,1,1,1,273,,JAX,1,83,86,,FBG_NEGATIVE_WEEK
fbg:KolaCh00,Charlie Kolar,TE,LAC,82,Thunder Bowl Consensus,56.1,55.7,-0.4,56.0,21.1,57.3,55.0,,56.0,2.3,37.5,-115.9,-115.9,0.0,-122.4,-112.2,,1,1,1,1,1,1,1,298,,LAC,0,45,52,,
fbg:KleiMa00,Marlin Klein,TE,HOU,83,Thunder Bowl Consensus,41.6,40.8,-0.8,36.2,13.6,43.3,45.3,,43.3,9.1,64.8,-130.8,-130.8,0.0,-136.4,-121.9,,1,1,1,1,1,1,1,329,1.10,HOU,0,53,65,43,
cbs:2167520,Chris Manhertz,TE,NYG,85,Thunder Bowl Consensus,3.0,2.3,-0.7,2.1,0.0,,4.0,,3.0,1.9,,-169.3,-169.3,0.0,,-163.2,,1,1,1,1,1,1,,,,NYG,0,140,,,
cbs:2961855,Cole Turner,TE,MIA,86,Thunder Bowl Consensus,11.8,11.1,-0.7,,,23.8,0.0,,11.9,23.8,,-160.5,-160.5,0.0,-155.9,-167.2,,1,1,1,1,1,1,,,,,,116,,,
cbs:2975736,John FitzPatrick,TE,GB,87,Thunder Bowl Consensus,23.8,23.1,-0.7,,0.0,23.8,,,23.8,,,-148.5,-148.5,0.0,-155.9,,,1,1,1,1,1,1,,,,FA,0,89,,,TEAM_CONFLICT_FBG
