pack_player_id,player_name,position,nfl_team,fbg_id,cbs_id,fantasypros_id,pff_id,gsis_id,model_id,source_as_of,exported_at,scoring_fingerprint,authority,fbg_points,cbs_points,fantasypros_points,pff_points,raw_consensus_points,mean_reversion_delta,within_position_delta,season_context_delta,durability_delta,availability_delta,modified_projection_points,uncertainty_low,uncertainty_high,fallback_reason,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18
fbg:HallBr01,Breece Hall,RB,NYJ,HallBr01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,235.7,206,245.8,240.4,232.1,0,0,0,0,0,232.1,206,245.8,,,,,,,,,,,,,,,,,,,
fbg:PickGe00,George Pickens,WR,DAL,PickGe00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,236.3,275.7,252.1,239.5,250.8,0,0,0,0,0,250.8,236.3,275.7,,,,,,,,,,,,,,,,,,,
fbg:MayeDr00,Drake Maye,QB,NE,MayeDr00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,380.1,335.9,368.6,350.8,359,0,0,0,0,0,359,335.9,380.1,,,,,,,,,,,,,,,,,,,
fbg:LoveJe01,Jeremiyah Love,RB,ARI,LoveJe01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,224.9,214.3,255.3,239.6,233.6,0,0,0,0,0,233.6,214.3,255.3,,,,,,,,,,,,,,,,,,,
fbg:HenrDe00,Derrick Henry,RB,BAL,HenrDe00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,240.2,270,273.7,240.6,256,0,0,0,0,0,256,240.2,273.7,,,,,,,,,,,,,,,,,,,
fbg:WarrTy00,Tyler Warren,TE,IND,WarrTy00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,188.3,192.2,199.2,197.3,194.2,0,0,0,0,0,194.2,188.3,199.2,,,,,,,,,,,,,,,,,,,
fbg:JacoJo00,Josh Jacobs,RB,GB,JacoJo00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,226.7,232.1,248.3,240.9,237,0,0,0,0,0,237,226.7,248.3,,,,,,,,,,,,,,,,,,,
fbg:LoveCo00,Colston Loveland,TE,CHI,LoveCo00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,183.9,224.6,211.6,209.8,207.4,0,0,0,0,0,207.4,183.9,224.6,,,,,,,,,,,,,,,,,,,
fbg:RiceRa01,Rashee Rice,WR,KC,RiceRa01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,218.3,295.5,274.1,232.9,255,0,0,0,0,0,255,218.3,295.5,,,,,,,,,,,,,,,,,,,
fbg:SmitDe04,DeVonta Smith,WR,PHI,SmitDe04,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,236.9,225.3,236.7,248.4,236.9,0,0,0,0,0,236.9,225.3,248.4,,,,,,,,,,,,,,,,,,,
fbg:WillKy02,Kyren Williams,RB,LAR,WillKy02,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,230,232.7,240.4,240.8,236,0,0,0,0,0,236,230,240.8,,,,,,,,,,,,,,,,,,,
fbg:BurrJo01,Joe Burrow,QB,CIN,BurrJo01,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,374,348.7,366.1,348.4,359.4,0,0,0,0,0,359.4,348.4,374,,,,,,,,,,,,,,,,,,,
fbg:WillJa08,Javonte Williams,RB,DAL,WillJa08,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,225.5,209.2,234.6,236.2,226.4,0,0,0,0,0,226.4,209.2,236.2,,,,,,,,,,,,,,,,,,,
fbg:OlavCh00,Chris Olave,WR,NO,OlavCh00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,224.6,265.9,261.8,241.1,248.2,0,0,0,0,0,248.2,224.6,265.9,,,,,,,,,,,,,,,,,,,
fbg:SkatCa00,Cam Skattebo,RB,NYG,SkatCa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,197,224.8,235,186.9,210.8,0,0,0,0,0,210.8,186.9,235,,,,,,,,,,,,,,,,,,,
fbg:NabeMa00,Malik Nabers,WR,NYG,NabeMa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,218.1,248.4,240.4,233.3,235,0,0,0,0,0,235,218.1,248.4,,,,,,,,,,,,,,,,,,,
fbg:McCoLa00,Ladd McConkey,WR,LAC,McCoLa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,228.7,220.1,220.4,232.1,225.3,0,0,0,0,0,225.3,220.1,232.1,,,,,,,,,,,,,,,,,,,
fbg:JackLa00,Lamar Jackson,QB,BAL,JackLa00,,,,,tb-accuracy-consensus-20260809-v1,2026-08-21T14:45:07.709Z,2026-08-21T14:46:47.271Z,tb26-ppr-6pt-pass-td-minus2-int-2pt-sack-50fg-v1,candidate_only,363.7,379.4,371.5,345,364.9,0,0,0,0,0,364.9,345,379.4,,,,,,,,,,,,,,,,,,,
